State,CO2_emissions_per_capita_tonnes,PM2_5_annual_mean_ug_m3,Bathing_water_excellent_percent,Forest_cover_share
Baden-Wurttemberg,6.2,8.1,92,39
Bayern,6.9,7.6,90,37
Berlin,5.3,9.9,88,20
Brandenburg,12.1,7.4,92,38
Bremen,7.8,9.5,85,11
Hamburg,6.5,10.2,87,11
Hessen,7.1,8.8,91,43
Mecklenburg-Vorpommern,8.6,6.3,95,25
Niedersachsen,8.2,7.1,93,25
Nordrhein-Westfalen,9.9,9.6,89,28
Rheinland-Pfalz,6.8,7.9,94,43
Saarland,9.2,8.7,90,38
Sachsen,9.6,8.3,91,29
Sachsen-Anhalt,11.4,7.2,92,25
Schleswig-Holstein,7.4,6.5,96,12
Thuringen,8.8,7.0,93,34
